Response Time,Availability,Throughput,Successability,Reliability,Compliance,Best Practices,Latency,Documentation,WSRF,Classifier
0.6571,0.6904,0.6891,0.6771,0.6904,0.6761,0.6720,0.6537,0.6456,84,0
0.6791,0.6904,0.6465,0.6771,0.6771,0.6630,0.6543,0.6751,0.6578,84,0
0.6670,0.6904,0.6626,0.6712,0.6771,0.6693,0.6657,0.6600,0.6578,84,0
0.6571,0.6904,0.6830,0.6712,0.6835,0.6693,0.6657,0.6537,0.6672,83,0
0.6602,0.6904,0.6582,0.6771,0.6771,0.6630,0.6657,0.6568,0.6838,83,0
0.6602,0.6904,0.6582,0.6771,0.6771,0.6630,0.6657,0.6568,0.6838,83,0
0.6602,0.6771,0.6830,0.6605,0.6904,0.6693,0.6789,0.6568,0.6578,83,0
0.6571,0.6904,0.6582,0.6771,0.6657,0.6761,0.6720,0.6537,0.6838,83,0
0.6571,0.6771,0.6773,0.6605,0.6835,0.6693,0.6789,0.6568,0.6672,83,0
0.6514,0.6904,0.6672,0.6835,0.6712,0.6761,0.6657,0.6508,0.6902,83,0
0.6571,0.6904,0.6582,0.6835,0.6771,0.6630,0.6720,0.6537,0.6838,82,0
0.6602,0.6904,0.6465,0.6835,0.6771,0.6630,0.6657,0.6568,0.6902,81,0
0.6571,0.6904,0.6582,0.6835,0.6771,0.6761,0.6657,0.6568,0.6578,81,0
0.6670,0.6835,0.6721,0.6712,0.6835,0.6693,0.6720,0.6600,0.6456,81,0
0.6571,0.6904,0.6773,0.6771,0.6835,0.6761,0.6720,0.6537,0.6456,81,0
0.6571,0.6904,0.6830,0.6771,0.6771,0.6761,0.6720,0.6537,0.6456,81,0
0.6571,0.6904,0.6541,0.6835,0.6771,0.6630,0.6657,0.6537,0.6838,81,0
0.6571,0.6904,0.6830,0.6712,0.6904,0.6761,0.6720,0.6537,0.6456,81,0
0.6571,0.6904,0.6541,0.6904,0.6771,0.6761,0.6720,0.6568,0.6578,80,1
0.6571,0.6904,0.6502,0.6835,0.6771,0.6630,0.6598,0.6537,0.6838,79,1
0.6542,0.6904,0.6672,0.6771,0.6712,0.6761,0.6720,0.6508,0.6578,79,1
0.6571,0.6904,0.6582,0.6835,0.6712,0.6630,0.6598,0.6537,0.6838,79,1
0.6571,0.6904,0.6437,0.6771,0.6771,0.6630,0.6720,0.6537,0.6902,78,1
0.6571,0.6904,0.6465,0.6712,0.6771,0.6630,0.6720,0.6537,0.6902,78,1
0.6670,0.6835,0.6672,0.6712,0.6835,0.6693,0.6657,0.6600,0.6426,78,1
0.6571,0.6904,0.6582,0.6771,0.6771,0.6630,0.6598,0.6537,0.6838,78,1
0.6602,0.6771,0.6626,0.6605,0.6835,0.6693,0.6720,0.6568,0.6672,78,1
0.6602,0.6904,0.6626,0.6835,0.6835,0.6630,0.6657,0.6568,0.6578,78,1
0.6492,0.6904,0.6541,0.6771,0.6712,0.6761,0.6720,0.6486,0.6838,78,1
0.6542,0.6904,0.6582,0.6835,0.6657,0.6630,0.6657,0.6508,0.6902,78,1
0.6542,0.6771,0.6773,0.6605,0.6771,0.6693,0.6720,0.6537,0.6672,78,1
0.6602,0.6771,0.6465,0.6657,0.6712,0.6630,0.6720,0.6670,0.6838,78,1
0.6571,0.6904,0.6465,0.6771,0.6712,0.6693,0.6720,0.6568,0.6838,78,1
0.6514,0.6771,0.6672,0.6605,0.6771,0.6693,0.6789,0.6508,0.6902,77,1
0.6571,0.6904,0.6465,0.6771,0.6712,0.6630,0.6720,0.6568,0.6902,77,1
0.6571,0.6904,0.6437,0.6771,0.6771,0.6630,0.6657,0.6537,0.6838,77,1
0.6571,0.6657,0.6541,0.6605,0.6712,0.6630,0.6657,0.6709,0.6902,77,1
0.6571,0.6904,0.6582,0.6771,0.6657,0.6630,0.6598,0.6537,0.6902,77,1
0.6571,0.6904,0.6465,0.6712,0.6771,0.6630,0.6720,0.6537,0.6838,77,1
0.6602,0.6904,0.6465,0.6712,0.6712,0.6630,0.6657,0.6568,0.6902,77,1
0.6571,0.6904,0.6582,0.6771,0.6657,0.6630,0.6598,0.6537,0.6902,77,1
0.6708,0.6657,0.6582,0.6605,0.6835,0.6630,0.6657,0.6634,0.6578,77,1
0.6602,0.6904,0.6502,0.6835,0.6835,0.6630,0.6720,0.6568,0.6578,77,1
0.6571,0.6712,0.6541,0.6657,0.6771,0.6761,0.6720,0.6537,0.6838,76,1
0.6602,0.6904,0.6502,0.6835,0.6771,0.6761,0.6720,0.6600,0.6456,76,1
0.6571,0.6904,0.6582,0.6771,0.6657,0.6630,0.6598,0.6537,0.6838,76,1
0.6571,0.6657,0.6502,0.6605,0.6771,0.6630,0.6657,0.6751,0.6838,76,1
0.6571,0.6904,0.6582,0.6771,0.6712,0.6630,0.6598,0.6537,0.6838,76,1
0.6571,0.6904,0.6773,0.6657,0.6835,0.6630,0.6789,0.6537,0.6426,76,1
0.6571,0.6904,0.6437,0.6712,0.6771,0.6630,0.6657,0.6537,0.6838,76,1
0.6602,0.6904,0.6437,0.6712,0.6712,0.6630,0.6657,0.6568,0.6838,76,1
0.6571,0.6904,0.6541,0.6835,0.6657,0.6630,0.6598,0.6537,0.6838,76,1
0.6602,0.6835,0.6672,0.6712,0.6835,0.6693,0.6657,0.6568,0.6456,76,1
0.6635,0.6657,0.6465,0.6605,0.6904,0.6630,0.6720,0.6600,0.6902,76,1
0.6571,0.6835,0.6465,0.6771,0.6771,0.6630,0.6657,0.6537,0.6838,76,1
0.6571,0.6904,0.6465,0.6712,0.6771,0.6630,0.6720,0.6537,0.6838,76,1
0.6542,0.6904,0.6541,0.6904,0.6712,0.6761,0.6657,0.6508,0.6672,76,1
0.6514,0.6904,0.6541,0.6771,0.6712,0.6630,0.6657,0.6508,0.6902,76,1
0.6602,0.6904,0.6541,0.6712,0.6771,0.6630,0.6720,0.6568,0.6578,76,1
0.6571,0.6904,0.6437,0.6835,0.6657,0.6630,0.6657,0.6568,0.6838,75,1
0.6542,0.6904,0.6465,0.6904,0.6657,0.6630,0.6720,0.6537,0.6838,75,1
0.6514,0.6904,0.6541,0.6771,0.6657,0.6630,0.6720,0.6508,0.6838,75,1
0.6571,0.6904,0.6672,0.6712,0.6771,0.6693,0.6720,0.6568,0.6456,75,1
0.6602,0.6904,0.6465,0.6835,0.6771,0.6761,0.6720,0.6568,0.6456,75,1
0.6602,0.6771,0.6830,0.6510,0.6904,0.6630,0.6720,0.6568,0.6456,75,1
0.6670,0.6771,0.6541,0.6605,0.6771,0.6630,0.6720,0.6634,0.6578,75,1
0.6514,0.6835,0.6541,0.6712,0.6657,0.6693,0.6720,0.6537,0.6902,75,1
0.6602,0.6771,0.6721,0.6510,0.6835,0.6630,0.6720,0.6568,0.6578,75,1
0.6571,0.6835,0.6437,0.6712,0.6712,0.6630,0.6657,0.6568,0.6902,74,1
0.6542,0.6904,0.6582,0.6712,0.6657,0.6693,0.6598,0.6537,0.6838,74,1
0.6635,0.6904,0.6465,0.6712,0.6771,0.6630,0.6657,0.6634,0.6535,74,1
0.6542,0.6835,0.6541,0.6712,0.6712,0.6693,0.6657,0.6537,0.6838,74,1
0.6514,0.6904,0.6582,0.6712,0.6712,0.6630,0.6720,0.6508,0.6838,74,1
0.6542,0.6904,0.6672,0.6771,0.6712,0.6761,0.6720,0.6537,0.6456,74,1
0.6571,0.6904,0.6541,0.6835,0.6657,0.6761,0.6657,0.6537,0.6578,74,1
0.6602,0.6904,0.6465,0.6712,0.6771,0.6630,0.6720,0.6600,0.6535,74,1
0.6635,0.6904,0.6582,0.6712,0.6835,0.6630,0.6720,0.6568,0.6456,74,1
0.6542,0.6771,0.6502,0.6712,0.6712,0.6693,0.6720,0.6537,0.6838,73,1
0.6571,0.6657,0.6502,0.6605,0.6771,0.6761,0.6720,0.6537,0.6838,73,1
0.6542,0.6904,0.6502,0.6712,0.6657,0.6630,0.6657,0.6537,0.6838,73,1
0.6542,0.6835,0.6502,0.6657,0.6712,0.6630,0.6720,0.6568,0.6902,73,1
0.6602,0.6904,0.6437,0.6771,0.6712,0.6630,0.6657,0.6568,0.6723,73,1
0.6492,0.6904,0.6437,0.6904,0.6657,0.6630,0.6720,0.6568,0.6838,73,1
0.6514,0.6904,0.6437,0.6835,0.6712,0.6630,0.6657,0.6537,0.6838,73,1
0.6542,0.6904,0.6465,0.6712,0.6657,0.6630,0.6720,0.6537,0.6838,73,1
0.6542,0.6771,0.6502,0.6712,0.6657,0.6693,0.6720,0.6537,0.6902,73,1
0.6571,0.6657,0.6541,0.6605,0.6771,0.6571,0.6720,0.6600,0.6902,73,1
0.6571,0.6904,0.6541,0.6712,0.6657,0.6693,0.6598,0.6634,0.6578,73,1
0.6571,0.6771,0.6465,0.6657,0.6712,0.6630,0.6657,0.6844,0.6578,73,1
0.6571,0.6835,0.6626,0.6712,0.6771,0.6693,0.6720,0.6537,0.6456,73,1
0.6542,0.6904,0.6465,0.6771,0.6712,0.6630,0.6720,0.6508,0.6838,73,1
0.6542,0.6904,0.6437,0.6835,0.6657,0.6630,0.6657,0.6508,0.6902,72,1
0.6635,0.6835,0.6541,0.6657,0.6771,0.6630,0.6720,0.6568,0.6578,72,1
0.6542,0.6771,0.6721,0.6605,0.6771,0.6630,0.6789,0.6537,0.6578,72,1
0.6571,0.6712,0.6465,0.6657,0.6712,0.6693,0.6657,0.6537,0.6838,72,1
0.6514,0.6904,0.6721,0.6712,0.6771,0.6761,0.6720,0.6508,0.6456,72,1
0.6571,0.6904,0.6502,0.6835,0.6657,0.6761,0.6720,0.6568,0.6456,72,1
0.6602,0.6835,0.6541,0.6657,0.6771,0.6630,0.6720,0.6568,0.6578,72,1
0.6514,0.6904,0.6541,0.6835,0.6605,0.6630,0.6657,0.6508,0.6838,72,1
0.6514,0.6904,0.6672,0.6771,0.6771,0.6761,0.6720,0.6508,0.6456,71,1
0.6514,0.6904,0.6672,0.6771,0.6712,0.6761,0.6720,0.6508,0.6456,71,1
0.6602,0.6904,0.6541,0.6904,0.6835,0.6630,0.6543,0.6568,0.6456,71,1
0.6602,0.6835,0.6465,0.6657,0.6771,0.6630,0.6657,0.6634,0.6578,71,1
0.6571,0.6904,0.6465,0.6835,0.6771,0.6761,0.6720,0.6568,0.6456,71,1
0.6514,0.6904,0.6626,0.6771,0.6712,0.6761,0.6720,0.6508,0.6456,71,1
0.6542,0.6904,0.6626,0.6771,0.6657,0.6761,0.6720,0.6537,0.6426,71,1
0.6670,0.6556,0.6541,0.6605,0.6904,0.6761,0.6720,0.6634,0.6426,71,1
0.6542,0.6904,0.6502,0.6835,0.6657,0.6761,0.6720,0.6600,0.6456,71,1
0.6542,0.6904,0.6465,0.6712,0.6657,0.6630,0.6657,0.6508,0.6902,71,1
0.6542,0.6904,0.6626,0.6835,0.6657,0.6761,0.6657,0.6537,0.6456,71,1
0.6514,0.6904,0.6541,0.6771,0.6605,0.6630,0.6657,0.6508,0.6902,71,1
0.6542,0.6657,0.6502,0.6605,0.6712,0.6693,0.6598,0.6600,0.6838,71,1
0.6514,0.6904,0.6541,0.6835,0.6605,0.6761,0.6720,0.6508,0.6672,71,1
0.6492,0.6904,0.6502,0.6771,0.6657,0.6630,0.6720,0.6486,0.6838,71,1
0.6514,0.6904,0.6582,0.6712,0.6657,0.6693,0.6657,0.6508,0.6672,71,1
0.6514,0.6904,0.6437,0.6771,0.6657,0.6630,0.6657,0.6508,0.6838,71,1
0.6514,0.6904,0.6502,0.6835,0.6556,0.6630,0.6657,0.6508,0.6838,71,1
0.6571,0.6904,0.6465,0.6712,0.6771,0.6630,0.6720,0.6600,0.6535,71,1
0.6602,0.6835,0.6541,0.6657,0.6771,0.6630,0.6720,0.6568,0.6578,70,2
0.6708,0.6904,0.6437,0.6657,0.6771,0.6630,0.6657,0.6634,0.6456,70,2
0.6571,0.6904,0.6582,0.6904,0.6605,0.6761,0.6657,0.6537,0.6456,70,2
0.6514,0.6904,0.6502,0.6835,0.6605,0.6630,0.6657,0.6508,0.6778,70,2
0.6542,0.6904,0.6541,0.6712,0.6712,0.6630,0.6720,0.6568,0.6578,70,2
0.6514,0.6904,0.6582,0.6771,0.6712,0.6693,0.6789,0.6508,0.6494,70,2
0.6602,0.6835,0.6502,0.6657,0.6771,0.6630,0.6720,0.6568,0.6578,70,2
0.6571,0.6904,0.6437,0.6835,0.6712,0.6761,0.6598,0.6537,0.6578,70,2
0.6571,0.6904,0.6626,0.6657,0.6712,0.6630,0.6720,0.6537,0.6456,70,2
0.6492,0.6904,0.6502,0.6712,0.6657,0.6630,0.6720,0.6486,0.6838,70,2
0.6514,0.6904,0.6502,0.6835,0.6556,0.6630,0.6657,0.6508,0.6838,70,2
0.6602,0.6657,0.6541,0.6605,0.6771,0.6571,0.6657,0.6751,0.6578,70,2
0.6635,0.6835,0.6582,0.6657,0.6771,0.6630,0.6657,0.6568,0.6456,70,2
0.6542,0.6904,0.6626,0.6835,0.6657,0.6761,0.6720,0.6508,0.6456,70,2
0.6602,0.6904,0.6541,0.6657,0.6771,0.6630,0.6720,0.6568,0.6426,70,2
0.6571,0.6771,0.6721,0.6605,0.6771,0.6693,0.6789,0.6537,0.6456,70,2
0.6514,0.6904,0.6541,0.6771,0.6605,0.6630,0.6657,0.6508,0.6838,70,2
0.6514,0.6904,0.6465,0.6771,0.6605,0.6630,0.6657,0.6508,0.6838,70,2
0.6602,0.6835,0.6502,0.6657,0.6771,0.6630,0.6720,0.6568,0.6578,69,2
0.6514,0.6835,0.6541,0.6771,0.6605,0.6761,0.6657,0.6508,0.6672,69,2
0.6542,0.6904,0.6626,0.6771,0.6605,0.6761,0.6720,0.6508,0.6426,69,2
0.6514,0.6904,0.6437,0.6712,0.6657,0.6630,0.6657,0.6508,0.6902,69,2
0.6514,0.6771,0.6626,0.6605,0.6712,0.6693,0.6789,0.6486,0.6672,69,2
0.6571,0.6835,0.6582,0.6712,0.6835,0.6693,0.6720,0.6537,0.6426,69,2
0.6492,0.6904,0.6437,0.6904,0.6657,0.6693,0.6657,0.6486,0.6838,69,2
0.6492,0.6904,0.6465,0.6712,0.6712,0.6630,0.6720,0.6486,0.6838,69,2
0.6542,0.6835,0.6582,0.6712,0.6556,0.6630,0.6720,0.6537,0.6672,69,2
0.6602,0.6904,0.6465,0.6605,0.6771,0.6693,0.6789,0.6568,0.6456,69,2
0.6514,0.6904,0.6437,0.6904,0.6466,0.6630,0.6720,0.6568,0.6838,68,2
0.6542,0.6712,0.6465,0.6657,0.6605,0.6693,0.6657,0.6537,0.6902,68,2
0.6542,0.6904,0.6502,0.6835,0.6466,0.6630,0.6657,0.6508,0.6838,68,2
0.6514,0.6771,0.6582,0.6712,0.6657,0.6761,0.6657,0.6508,0.6672,68,2
0.6492,0.6904,0.6465,0.6712,0.6657,0.6630,0.6720,0.6486,0.6838,68,2
0.6492,0.6904,0.6626,0.6771,0.6771,0.6761,0.6720,0.6486,0.6426,68,2
0.6602,0.6904,0.6437,0.6712,0.6712,0.6630,0.6720,0.6634,0.6456,68,2
0.6542,0.6712,0.6465,0.6657,0.6657,0.6693,0.6657,0.6537,0.6902,68,2
0.6492,0.6771,0.6437,0.6771,0.6712,0.6693,0.6720,0.6486,0.6902,68,2
0.6542,0.6904,0.6502,0.6835,0.6657,0.6761,0.6657,0.6537,0.6456,68,2
0.6492,0.6904,0.6502,0.6712,0.6605,0.6630,0.6720,0.6486,0.6902,68,2
0.6492,0.6904,0.6465,0.6712,0.6605,0.6630,0.6720,0.6486,0.6838,68,2
0.6514,0.6904,0.6465,0.6835,0.6424,0.6630,0.6720,0.6537,0.6838,68,2
0.6514,0.6904,0.6465,0.6835,0.6556,0.6630,0.6598,0.6508,0.6902,67,2
0.6571,0.6904,0.6465,0.6712,0.6657,0.6630,0.6720,0.6537,0.6578,67,2
0.6542,0.6904,0.6437,0.6771,0.6657,0.6630,0.6720,0.6568,0.6578,67,2
0.6514,0.6904,0.6465,0.6835,0.6510,0.6630,0.6657,0.6508,0.6838,67,2
0.6492,0.6904,0.6437,0.6771,0.6605,0.6630,0.6720,0.6486,0.6838,67,2
0.6571,0.6904,0.6465,0.6712,0.6712,0.6630,0.6720,0.6537,0.6578,67,2
0.6571,0.6835,0.6582,0.6712,0.6712,0.6693,0.6720,0.6537,0.6426,67,2
0.6514,0.6712,0.6437,0.6605,0.6712,0.6630,0.6598,0.6634,0.6902,67,2
0.6571,0.6771,0.6541,0.6605,0.6771,0.6693,0.6720,0.6568,0.6456,67,2
0.6602,0.6657,0.6582,0.6657,0.6904,0.6693,0.6720,0.6568,0.6426,67,2
0.6514,0.6904,0.6541,0.6712,0.6771,0.6630,0.6720,0.6508,0.6578,67,2
0.6514,0.6904,0.6502,0.6835,0.6466,0.6630,0.6657,0.6508,0.6838,67,2
0.6514,0.6835,0.6502,0.6771,0.6466,0.6630,0.6657,0.6508,0.6902,67,2
0.6492,0.6904,0.6437,0.6835,0.6556,0.6630,0.6657,0.6486,0.6902,67,2
0.6492,0.6904,0.6437,0.6771,0.6605,0.6630,0.6657,0.6486,0.6902,67,2
0.6571,0.6771,0.6582,0.6510,0.6904,0.6630,0.6789,0.6537,0.6456,67,2
0.6542,0.6771,0.6672,0.6605,0.6712,0.6693,0.6720,0.6537,0.6456,67,2
0.6602,0.6657,0.6465,0.6556,0.6771,0.6761,0.6657,0.6568,0.6672,66,2
0.6708,0.6556,0.6465,0.6424,0.6835,0.6630,0.6657,0.6634,0.6672,66,2
0.6514,0.6904,0.6465,0.6771,0.6835,0.6630,0.6720,0.6508,0.6456,66,2
0.6514,0.6904,0.6465,0.6835,0.6466,0.6630,0.6657,0.6508,0.6838,66,2
0.6514,0.6904,0.6541,0.6712,0.6712,0.6630,0.6720,0.6508,0.6578,66,2
0.6514,0.6904,0.6437,0.6835,0.6466,0.6630,0.6657,0.6844,0.6902,66,2
0.6514,0.6904,0.6437,0.6835,0.6510,0.6630,0.6657,0.6844,0.6838,66,2
0.6514,0.6835,0.6502,0.6771,0.6466,0.6630,0.6720,0.6844,0.6838,66,2
0.6514,0.6904,0.6541,0.6835,0.6510,0.6630,0.6657,0.6844,0.6672,65,2
0.6571,0.6657,0.6672,0.6556,0.6771,0.6693,0.6789,0.6844,0.6426,65,2
0.6514,0.6904,0.6541,0.6835,0.6605,0.6761,0.6720,0.6844,0.6426,65,2
0.6514,0.6904,0.6465,0.6835,0.6466,0.6630,0.6657,0.6844,0.6902,65,2
0.6542,0.6835,0.6626,0.6556,0.6712,0.6571,0.6720,0.6844,0.6578,65,2
0.6571,0.6712,0.6502,0.6657,0.6771,0.6693,0.6720,0.6844,0.6456,65,2
0.6492,0.6904,0.6437,0.6835,0.6424,0.6630,0.6657,0.6844,0.6902,65,2
0.6542,0.6904,0.6541,0.6835,0.6510,0.6630,0.6657,0.6844,0.6578,64,2
0.6542,0.6835,0.6502,0.6712,0.6712,0.6693,0.6720,0.6844,0.6456,64,2
0.6571,0.6712,0.6672,0.6510,0.6771,0.6630,0.6789,0.6844,0.6426,64,2
0.6542,0.6771,0.6626,0.6605,0.6771,0.6693,0.6720,0.6844,0.6456,64,2
0.6542,0.6904,0.6437,0.6771,0.6657,0.6630,0.6720,0.6844,0.6578,64,2
0.6514,0.6771,0.6721,0.6605,0.6771,0.6693,0.6657,0.6844,0.6456,64,2
0.6514,0.6904,0.6541,0.6835,0.6605,0.6761,0.6720,0.6844,0.6456,64,2
0.6542,0.6835,0.6582,0.6712,0.6657,0.6693,0.6657,0.6844,0.6456,64,2
0.6514,0.6904,0.6541,0.6712,0.6712,0.6630,0.6720,0.6844,0.6578,64,2
0.6514,0.6904,0.6502,0.6835,0.6605,0.6761,0.6657,0.6844,0.6456,64,2
0.6602,0.6657,0.6502,0.6605,0.6771,0.6761,0.6657,0.6844,0.6426,64,2
0.6492,0.6904,0.6541,0.6712,0.6712,0.6630,0.6720,0.6844,0.6578,64,2
0.6492,0.6712,0.6465,0.6712,0.6657,0.6693,0.6789,0.6844,0.6672,64,2
0.6514,0.6904,0.6502,0.6712,0.6712,0.6630,0.6657,0.6844,0.6578,64,2
0.6542,0.6835,0.6582,0.6712,0.6712,0.6693,0.6720,0.6844,0.6426,64,2
0.6492,0.6904,0.6502,0.6712,0.6712,0.6630,0.6720,0.6844,0.6578,64,2
0.6514,0.6904,0.6465,0.6605,0.6771,0.6693,0.6657,0.6844,0.6578,63,2
0.6542,0.6771,0.6541,0.6712,0.6712,0.6693,0.6720,0.6844,0.6456,63,2
0.6602,0.6904,0.6437,0.6771,0.6712,0.6630,0.6598,0.6844,0.6426,63,2
0.6492,0.6771,0.6437,0.6771,0.6605,0.6630,0.6720,0.6796,0.6902,63,2
0.6571,0.6605,0.6437,0.6605,0.6771,0.6571,0.6657,0.6537,0.6838,63,2
0.6492,0.6904,0.6502,0.6712,0.6657,0.6630,0.6720,0.6486,0.6578,63,2
0.6571,0.6771,0.6465,0.6556,0.6712,0.6571,0.6720,0.6634,0.6578,63,2
0.6571,0.6605,0.6437,0.6510,0.6712,0.6693,0.6657,0.6600,0.6838,63,2
0.6514,0.6904,0.6437,0.6771,0.6712,0.6630,0.6720,0.6508,0.6578,63,2
0.6542,0.6835,0.6626,0.6556,0.6771,0.6571,0.6720,0.6568,0.6426,63,2
0.6542,0.6657,0.6502,0.6657,0.6657,0.6693,0.6720,0.6537,0.6535,63,2
0.6542,0.6771,0.6437,0.6657,0.6712,0.6630,0.6657,0.6568,0.6578,62,2
0.6514,0.6904,0.6502,0.6712,0.6605,0.6630,0.6720,0.6508,0.6578,62,2
0.6492,0.6835,0.6437,0.6835,0.6510,0.6630,0.6657,0.6486,0.6838,62,2
0.6542,0.6657,0.6465,0.6556,0.6657,0.6571,0.6720,0.6537,0.6902,62,2
0.6514,0.6657,0.6502,0.6657,0.6712,0.6693,0.6657,0.6508,0.6672,62,2
0.6670,0.6556,0.6465,0.6510,0.6835,0.6693,0.6720,0.6600,0.6456,62,2
0.6514,0.6771,0.6582,0.6605,0.6771,0.6693,0.6657,0.6508,0.6456,62,2
0.6492,0.6904,0.6502,0.6712,0.6712,0.6630,0.6720,0.6486,0.6535,62,2
0.6514,0.6835,0.6437,0.6771,0.6510,0.6693,0.6543,0.6508,0.6838,61,2
0.6514,0.6835,0.6465,0.6771,0.6466,0.6630,0.6657,0.6508,0.6838,61,2
0.6542,0.6835,0.6541,0.6712,0.6712,0.6693,0.6657,0.6508,0.6426,61,2
0.6514,0.6904,0.6437,0.6771,0.6657,0.6630,0.6657,0.6508,0.6578,61,2
0.6542,0.6904,0.6437,0.6771,0.6657,0.6630,0.6720,0.6537,0.6456,61,2
0.6514,0.6771,0.6626,0.6605,0.6712,0.6630,0.6720,0.6508,0.6456,61,2
0.6602,0.6771,0.6465,0.6605,0.6712,0.6630,0.6720,0.6568,0.6456,61,2
0.6492,0.6835,0.6437,0.6657,0.6605,0.6630,0.6657,0.6486,0.6838,61,2
0.6492,0.6904,0.6465,0.6771,0.6657,0.6630,0.6720,0.6486,0.6578,61,2
0.6514,0.6904,0.6502,0.6835,0.6556,0.6630,0.6598,0.6508,0.6535,61,2
0.6492,0.6904,0.6465,0.6712,0.6605,0.6630,0.6720,0.6486,0.6578,61,2
0.6514,0.6904,0.6437,0.6657,0.6466,0.6630,0.6657,0.6508,0.6838,61,2
0.6571,0.6771,0.6437,0.6605,0.6712,0.6693,0.6720,0.6568,0.6456,60,3
0.6514,0.6835,0.6582,0.6712,0.6657,0.6693,0.6657,0.6508,0.6426,60,3
0.6492,0.6904,0.6465,0.6712,0.6657,0.6630,0.6720,0.6486,0.6578,60,3
0.6542,0.6904,0.6502,0.6712,0.6556,0.6630,0.6720,0.6537,0.6456,60,3
0.6542,0.6605,0.6502,0.6605,0.6556,0.6571,0.6657,0.6537,0.6838,60,3
0.6542,0.6605,0.6502,0.6605,0.6556,0.6571,0.6657,0.6537,0.6902,60,3
0.6542,0.6657,0.6582,0.6605,0.6771,0.6761,0.6598,0.6537,0.6456,60,3
0.6542,0.6771,0.6502,0.6556,0.6657,0.6571,0.6720,0.6568,0.6578,60,3
0.6514,0.6835,0.6541,0.6712,0.6657,0.6693,0.6657,0.6508,0.6456,60,3
0.6492,0.6904,0.6437,0.6712,0.6657,0.6630,0.6720,0.6486,0.6578,60,3
0.6514,0.6904,0.6502,0.6771,0.6605,0.6630,0.6720,0.6486,0.6456,59,3
0.6514,0.6835,0.6502,0.6712,0.6657,0.6761,0.6720,0.6508,0.6456,59,3
0.6571,0.6835,0.6465,0.6657,0.6605,0.6630,0.6720,0.6537,0.6456,59,3
0.6492,0.6657,0.6465,0.6556,0.6771,0.6693,0.6657,0.6486,0.6723,59,3
0.6492,0.6712,0.6437,0.6556,0.6657,0.6630,0.6720,0.6486,0.6838,59,3
0.6492,0.6712,0.6437,0.6556,0.6657,0.6630,0.6720,0.6486,0.6838,59,3
0.6514,0.6657,0.6502,0.6657,0.6466,0.6693,0.6657,0.6508,0.6902,59,3
0.6514,0.6904,0.6502,0.6712,0.6605,0.6630,0.6720,0.6508,0.6426,59,3
0.6492,0.6904,0.6437,0.6771,0.6556,0.6630,0.6720,0.6486,0.6578,59,3
0.6542,0.6771,0.6502,0.6712,0.6605,0.6693,0.6720,0.6537,0.6426,58,3
0.6514,0.6835,0.6437,0.6657,0.6657,0.6630,0.6657,0.6508,0.6578,58,3
0.6542,0.6657,0.6502,0.6510,0.6771,0.6630,0.6720,0.6508,0.6578,58,3
0.6670,0.6466,0.6541,0.6424,0.6835,0.6761,0.6657,0.6600,0.6426,58,3
